player_tag,player_name,player_is_current_member,player_role,player_donations,player_donations_received,player_trophies,player_contribution_count,player_participating_count,player_total_decks_used,player_total_boat_attacks,s_zzzcurrent_fame,s_zzzcurrent_decks_used,s_zzzcurrent_boat_attacks,s_20260406_fame,s_20260406_decks_used,s_20260406_boat_attacks,s_20260330_fame,s_20260330_decks_used,s_20260330_boat_attacks,s_20260323_fame,s_20260323_decks_used,s_20260323_boat_attacks,s_20260316_fame,s_20260316_decks_used,s_20260316_boat_attacks,s_20260309_fame,s_20260309_decks_used,s_20260309_boat_attacks,s_20260302_fame,s_20260302_decks_used,s_20260302_boat_attacks,s_20260223_fame,s_20260223_decks_used,s_20260223_boat_attacks,s_20260216_fame,s_20260216_decks_used,s_20260216_boat_attacks,s_20260209_fame,s_20260209_decks_used,s_20260209_boat_attacks,s_20260202_fame,s_20260202_decks_used,s_20260202_boat_attacks
#YQVQYUYRV,Fxry,True,elder,98,160,11122,9,9,104,0,1800,10,0,2100,10,0,1450,9,0,500,4,0,1250,7,0,2900,16,0,3200,16,0,2800,16,0,3000,16,0,0,0,0,0,0,0
#ULYJ2CQP,Knitte,True,elder,728,600,12418,11,11,148,0,2050,12,0,2350,16,0,2600,16,0,1750,11,0,2000,12,0,1900,14,0,2200,12,0,1950,11,0,1850,12,0,2200,16,0,2950,16,0
#2UQUPYQCJ,andiquariat,True,elder,0,0,11094,11,11,164,0,1350,8,0,1800,12,0,2750,16,0,2100,16,0,2300,16,0,2250,16,0,2550,16,0,2600,16,0,2500,16,0,2700,16,0,2700,16,0
#YQ82VR9JQ,chris,True,elder,985,640,12065,11,11,171,0,2050,12,0,2050,16,0,3050,16,0,2250,16,0,1950,15,0,2500,16,0,2100,16,0,2400,16,0,2500,16,0,3100,16,0,2850,16,0
#Q2GRGLQR,honigmelone,True,elder,148,400,6055,11,11,167,0,1900,12,0,2400,16,0,2500,16,0,2500,16,0,2100,13,0,2500,16,0,2000,16,0,2400,16,0,2100,16,0,2600,16,0,2000,14,0
#2P0U2RLGY,mauza,True,elder,319,280,10354,11,11,144,0,2100,12,0,1900,10,0,2150,12,0,2900,16,0,1950,12,0,2500,14,0,1850,12,0,1500,12,0,2500,16,0,2400,16,0,1800,12,0
#2U8288CVY,_spc07,True,coLeader,276,360,12000,11,11,164,0,1750,12,0,2300,16,0,2200,16,0,2650,16,0,1800,12,0,2850,16,0,3000,16,0,2650,16,0,2650,16,0,2450,12,0,2750,16,0
#8QYYL8LCQ,SirHenry87,True,elder,389,280,10703,11,11,128,0,1800,12,0,2400,16,0,2400,16,0,1100,8,0,1500,11,0,1000,8,0,1200,11,0,1200,8,0,700,7,0,1900,16,0,2100,15,0
#LVUGLUCP9,Nati,True,elder,63,80,9849,11,11,141,0,2300,12,0,1950,12,0,900,5,0,1900,12,0,2350,16,0,2450,15,0,1900,12,0,1800,13,0,2550,16,0,2400,16,0,2000,12,0
#2QRVR9L8,Bensie,True,coLeader,1688,720,12133,11,11,172,0,2200,16,0,2000,16,0,2500,16,0,2150,16,0,2700,16,0,2700,16,0,1850,12,0,2250,16,0,2600,16,0,3000,16,0,3000,16,0
#LLQQJCLC,bes,True,member,228,320,11620,4,4,47,0,1700,12,0,2000,12,0,2300,15,0,900,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Y8PVULPU0,gang,True,member,80,80,12070,9,11,40,0,100,1,0,2000,12,0,100,1,0,500,4,0,100,1,0,100,1,0,1200,10,0,1100,7,0,0,0,0,300,3,0,0,0,0
#JRGC9RRQG,seroo,True,elder,16,0,11856,11,11,144,0,1800,11,0,2050,12,0,2300,15,0,1500,10,0,2100,13,0,2000,12,0,2600,16,0,2600,16,0,2200,16,0,1900,12,0,1550,11,0
